country,reg_new_user_cnt,reg_new_pay_user_cnt,reg_new_pay_rate,reg_new_pay_amt,pay_old_user_cnt,pay_old_amt,tts_user_rate,talkingphoto_user_rate,transcription_user_rate,videotranslation_user_rate,videoedit_user_rate,videodownload_user_rate,produce_rate
美国,12068,256,0.0212,10837.7,556,15560.02,0.4674,0.1371,0.0589,0.0082,0.0082,0.0188,0.6595
韩国,1694,67,0.0396,4189.15,61,2948.34,0.147,0.3713,0.0148,0.0089,0.0106,0.0124,0.5041
巴基斯坦,16575,49,0.003,920.66,10,326.0,0.6344,0.1012,0.0348,0.0198,0.0019,0.0105,0.7765
英国,2075,34,0.0164,1255.59,73,1846.43,0.3648,0.161,0.0607,0.0092,0.0092,0.0154,0.5788
加拿大,1064,31,0.0291,1059.82,50,2715.36,0.3835,0.1419,0.0479,0.0075,0.0056,0.015,0.5648
德国,1763,29,0.0164,1101.09,59,1717.62,0.4396,0.1571,0.0652,0.0119,0.0085,0.0147,0.6568
越南,3777,26,0.0069,749.0,19,755.0,0.3257,0.3074,0.0387,0.0045,0.0032,0.0061,0.6516
印度,50808,24,0.0005,691.44,41,1064.78,0.5598,0.0937,0.0327,0.0107,0.0023,0.0187,0.6889
巴西,10982,17,0.0015,657.0,20,525.63,0.1192,0.387,0.0273,0.0034,0.0025,0.0025,0.5299
法国,4579,17,0.0037,330.75,40,675.0,0.1181,0.0668,0.0201,0.5372,0.0015,0.0085,0.7408
澳大利亚,988,17,0.0172,581.75,28,723.02,0.4433,0.1103,0.0688,0.0081,0.0101,0.0223,0.6215
菲律宾,2590,14,0.0054,256.79,23,485.0,0.3297,0.188,0.056,0.0116,0.0066,0.0108,0.5579
印度尼西亚,17100,13,0.0008,501.31,18,432.63,0.6014,0.0551,0.0159,0.009,0.0011,0.0505,0.6833
荷兰,1304,13,0.01,359.0,28,724.5,0.4363,0.1656,0.0475,0.0153,0.0046,0.0184,0.6511
泰国,1870,11,0.0059,651.99,22,543.63,0.0529,0.4968,0.0091,0.0021,0.0053,0.0021,0.5529
奥地利,147,9,0.0612,203.0,4,110.0,0.3333,0.1837,0.0884,0.0272,0.0,0.0204,0.6054
南非,2084,8,0.0038,379.75,18,346.5,0.5216,0.1248,0.0581,0.0053,0.0024,0.0139,0.691
意大利,1092,8,0.0073,142.54,24,450.0,0.3562,0.1822,0.0201,0.0064,0.0064,0.0156,0.5595
马来西亚,869,8,0.0092,305.0,8,145.0,0.3959,0.1623,0.0184,0.0081,0.0023,0.0736,0.5811
土耳其,1245,7,0.0056,475.0,20,1812.31,0.1992,0.2474,0.0225,0.0048,0.004,0.0072,0.4627
希腊,214,7,0.0327,183.0,5,128.0,0.243,0.3271,0.0514,0.0187,0.0,0.014,0.6075
捷克,432,7,0.0162,297.0,14,255.5,0.4884,0.1435,0.0463,0.0023,0.0069,0.0116,0.6597
西班牙,1045,7,0.0067,152.75,21,948.79,0.3043,0.1541,0.0364,0.0584,0.0038,0.0967,0.5971
乌克兰,3338,6,0.0018,1390.0,18,408.32,0.7942,0.0599,0.0147,0.0012,0.003,0.003,0.8664
以色列,306,6,0.0196,203.0,12,230.0,0.2451,0.2549,0.0686,0.0098,0.0098,0.0131,0.5621
俄罗斯,3205,6,0.0019,459.44,21,1120.07,0.7441,0.0892,0.0059,0.0025,0.0028,0.0081,0.8384
波兰,918,6,0.0065,134.0,11,265.0,0.4096,0.2298,0.0719,0.012,0.0033,0.012,0.7168
阿联酋,583,6,0.0103,90.0,19,310.0,0.3156,0.2762,0.0446,0.0069,0.0051,0.0137,0.6261
中国,6153,5,0.0008,217.0,17,358.0,0.576,0.0926,0.0369,0.0156,0.0018,0.0085,0.7096
匈牙利,140,5,0.0357,75.0,5,217.0,0.3071,0.3214,0.0214,0.0214,0.0143,0.0071,0.6643
塞浦路斯,39,5,0.1282,75.0,2,30.0,0.3077,0.2051,0.0513,0.0256,0.0256,0.0,0.5385
墨西哥,939,5,0.0053,80.58,17,410.33,0.3269,0.2141,0.065,0.0096,0.0,0.0245,0.6124
新加坡,1046,5,0.0048,100.0,13,2000.79,0.6358,0.1616,0.0096,0.0029,0.0067,0.0057,0.8011
哥伦比亚,788,4,0.0051,60.0,3,95.0,0.4289,0.2576,0.0482,0.0178,0.0038,0.0178,0.7487
摩洛哥,2392,4,0.0017,177.0,0,0.0,0.2161,0.2759,0.1476,0.0176,0.0042,0.0134,0.63
日本,1253,4,0.0032,75.63,11,397.0,0.5515,0.099,0.0551,0.0144,0.0016,0.0359,0.7191
欧洲,390,4,0.0103,60.0,1,15.0,0.5538,0.1077,0.041,0.0,0.0,0.0103,0.7
沙特阿拉伯,708,4,0.0056,54.0,11,215.0,0.3771,0.2076,0.0452,0.0085,0.0042,0.0141,0.6314
瑞典,274,4,0.0146,113.0,14,267.11,0.3394,0.1277,0.0912,0.0146,0.0036,0.0219,0.562
阿根廷,706,4,0.0057,55.5,1,40.0,0.4547,0.1615,0.0326,0.0057,0.0042,0.0099,0.6544
保加利亚,180,3,0.0167,69.95,7,105.0,0.4389,0.15,0.0444,0.0222,0.0167,0.0056,0.65
塞尔维亚,182,3,0.0165,58.0,4,60.0,0.3242,0.2253,0.1099,0.0,0.0,0.011,0.6538
